round,giver,receiver,tokens,
4,Melchizedek,Melchizedek,0,
4,Joseph,Jeremiah,0,
4,Joseph,Sharon,8,
4,Joseph,David,0,
4,Joseph,Adam,0,
4,Joseph,Samuel,0,
4,Joseph,Aaron,3,
4,Joseph,Joseph,0,
4,Joseph,Melchizedek,5,
4,Adam,Jeremiah,0,
4,Adam,Sharon,0,
4,Adam,David,7,
4,Adam,Adam,0,
4,Adam,Samuel,2,
4,Adam,Aaron,0,
4,Adam,Joseph,0,
4,Adam,Melchizedek,7,
5,Samuel,Jeremiah,0,
5,Samuel,Sharon,0,
5,Samuel,David,0,
5,Samuel,Adam,6,
5,Samuel,Samuel,0,
5,Samuel,Aaron,0,
5,Samuel,Joseph,0,
5,Samuel,Melchizedek,10,
5,Melchizedek,Jeremiah,0,
5,Melchizedek,Sharon,0,
5,Melchizedek,David,2,
5,Melchizedek,Adam,7,
5,Melchizedek,Samuel,7,
5,Melchizedek,Aaron,0,
5,Melchizedek,Joseph,0,
5,Melchizedek,Melchizedek,0,
5,David,Jeremiah,7,
5,David,Sharon,0,
5,David,David,0,
5,David,Adam,7,
5,David,Samuel,0,
5,David,Aaron,0,
5,David,Joseph,0,
5,David,Melchizedek,2,
5,Jeremiah,Jeremiah,0,
5,Jeremiah,Sharon,0,
5,Jeremiah,David,8,
5,Jeremiah,Adam,0,
5,Jeremiah,Samuel,0,
5,Jeremiah,Aaron,8,
5,Jeremiah,Joseph,0,
5,Jeremiah,Melchizedek,0,
5,Adam,Jeremiah,0,
5,Adam,Sharon,0,
5,Adam,David,0,
5,Adam,Adam,0,
5,Adam,Samuel,8,
5,Adam,Aaron,0,
5,Adam,Joseph,0,
5,Adam,Melchizedek,8,
5,Joseph,Jeremiah,3,
5,Joseph,Sharon,8,
5,Joseph,David,0,
5,Joseph,Adam,0,
5,Joseph,Samuel,0,
5,Joseph,Aaron,5,
5,Joseph,Joseph,0,
5,Joseph,Melchizedek,0,
5,Sharon,Jeremiah,0,
5,Sharon,Sharon,0,
5,Sharon,David,0,
5,Sharon,Adam,0,
5,Sharon,Samuel,0,
5,Sharon,Aaron,8,
5,Sharon,Joseph,8,
5,Sharon,Melchizedek,0,
5,Aaron,Jeremiah,0,
5,Aaron,Sharon,0,
5,Aaron,David,0,
5,Aaron,Adam,0,
5,Aaron,Samuel,0,
5,Aaron,Aaron,16,
5,Aaron,Joseph,0,
5,Aaron,Melchizedek,0,
5,Aaron,Jeremiah,0,
5,Aaron,Sharon,0,
5,Aaron,David,0,
5,Aaron,Adam,0,
5,Aaron,Samuel,0,
5,Aaron,Aaron,16,
5,Aaron,Joseph,0,
5,Aaron,Melchizedek,0,
6,Sharon,Jeremiah,0,
6,Sharon,Sharon,0,
6,Sharon,David,0,
6,Sharon,Adam,0,
6,Sharon,Samuel,0,
6,Sharon,Aaron,8,
6,Sharon,Joseph,8,
6,Sharon,Melchizedek,0,
6,Samuel,Jeremiah,0,
6,Samuel,Sharon,0,
6,Samuel,David,0,
6,Samuel,Adam,8,
6,Samuel,Samuel,0,
6,Samuel,Aaron,0,
6,Samuel,Joseph,0,
6,Samuel,Melchizedek,8,
6,Melchizedek,Jeremiah,0,
6,Melchizedek,Sharon,0,
6,Melchizedek,David,0,
6,Melchizedek,Adam,8,
6,Melchizedek,Samuel,8,
6,Melchizedek,Aaron,0,
6,Melchizedek,Joseph,0,
6,Melchizedek,Melchizedek,0,
6,Adam,Jeremiah,0,
6,Adam,Sharon,0,
6,Adam,David,0,
6,Adam,Adam,0,
6,Adam,Samuel,8,
6,Adam,Aaron,0,
6,Adam,Joseph,0,
6,Adam,Melchizedek,8,
6,Jeremiah,Jeremiah,0,
6,Jeremiah,Sharon,0,
